epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
25,0.03610363483225715,"tensor(0.1140, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0868, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8102, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0576, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9856, device='cuda:0')","tensor(3.2587, device='cuda:0')","tensor(0.0488, device='cuda:0')"
26,0.03346738724367838,"tensor(0.1120, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0675, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6814, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0536, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9378, device='cuda:0')","tensor(3.1885, device='cuda:0')","tensor(0.0536, device='cuda:0')"
27,0.03539445677486472,"tensor(0.1055, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0677, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7686, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0565, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1814, device='cuda:0')","tensor(3.1163, device='cuda:0')","tensor(0.0517, device='cuda:0')"
28,0.034179762668337665,"tensor(0.1029, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0648, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7393, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0531, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9734, device='cuda:0')","tensor(3.0603, device='cuda:0')","tensor(0.0536, device='cuda:0')"
29,0.032614735655714745,"tensor(0.1027, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0525, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6696, device='cuda:0', dtype=torch.float64, grad_fn=<DivBackward0>)","tensor(0.0524, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8402, device='cuda:0')","tensor(3.0414, device='cuda:0')","tensor(0.0568, device='cuda:0')"
30,0.033632593929815206,"tensor(0.1191, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0380, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6989, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0496, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1761, device='cuda:0')","tensor(3.2365, device='cuda:0')","tensor(0.0544, device='cuda:0')"
31,0.03195944061080411,"tensor(0.1083, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0351, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6410, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0496, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1934, device='cuda:0')","tensor(3.0676, device='cuda:0')","tensor(0.0516, device='cuda:0')"
32,0.030986719294239396,"tensor(0.1044, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0788, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5774, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0476, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9587, device='cuda:0')","tensor(3.0550, device='cuda:0')","tensor(0.0539, device='cuda:0')"
33,0.030805213420555755,"tensor(0.1144, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0481, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5937, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0475, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2548, device='cuda:0')","tensor(3.2248, device='cuda:0')","tensor(0.0614, device='cuda:0')"
34,0.028147439829178243,"tensor(0.1113, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0984, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4649, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0468, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1518, device='cuda:0')","tensor(3.0717, device='cuda:0')","tensor(0.0529, device='cuda:0')"
35,0.029698805332012097,"tensor(0.1023, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1144, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5279, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0416, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1171, device='cuda:0')","tensor(2.9637, device='cuda:0')","tensor(0.0542, device='cuda:0')"
36,0.02957051337967403,"tensor(0.1299, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0415, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5345, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0445, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4962, device='cuda:0')","tensor(3.4014, device='cuda:0')","tensor(0.0546, device='cuda:0')"
37,0.030292581057636055,"tensor(0.1170, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0868, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5672, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0466, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9072, device='cuda:0')","tensor(3.2716, device='cuda:0')","tensor(0.0526, device='cuda:0')"
38,0.027353191366957217,"tensor(0.0983, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0603, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4498, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0435, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0382, device='cuda:0')","tensor(2.9642, device='cuda:0')","tensor(0.0524, device='cuda:0')"
39,0.029313875234456152,"tensor(0.1057, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0313, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5183, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0420, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0753, device='cuda:0')","tensor(3.0721, device='cuda:0')","tensor(0.0598, device='cuda:0')"
40,0.029630405602565066,"tensor(0.1124, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0426, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5534, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0476, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0939, device='cuda:0')","tensor(3.1616, device='cuda:0')","tensor(0.0558, device='cuda:0')"
41,0.02632932782450679,"tensor(0.1024, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0252, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3786, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0441, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2800, device='cuda:0')","tensor(2.9613, device='cuda:0')","tensor(0.0468, device='cuda:0')"
42,0.02708353059003576,"tensor(0.1119, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0201, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4336, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0407, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2987, device='cuda:0')","tensor(3.1852, device='cuda:0')","tensor(0.0488, device='cuda:0')"
43,0.024776077972621047,"tensor(0.1048, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0155, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3317, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0391, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2842, device='cuda:0')","tensor(3.0237, device='cuda:0')","tensor(0.0542, device='cuda:0')"
44,0.02556516883406195,"tensor(0.1075, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0205, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3641, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0391, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0585, device='cuda:0')","tensor(3.1348, device='cuda:0')","tensor(0.0475, device='cuda:0')"
45,0.026046831900487902,"tensor(0.1097, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0285, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3796, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0397, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1867, device='cuda:0')","tensor(3.1014, device='cuda:0')","tensor(0.0493, device='cuda:0')"
46,0.026104499164913638,"tensor(0.0990, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3710, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0393, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2562, device='cuda:0')","tensor(2.9222, device='cuda:0')","tensor(0.0577, device='cuda:0')"
47,0.02536629567432505,"tensor(0.1035, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0395, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3479, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0383, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1366, device='cuda:0')","tensor(3.0163, device='cuda:0')","tensor(0.0543, device='cuda:0')"
48,0.0237939497517766,"tensor(0.1131, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0226, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2887, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0356, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2316, device='cuda:0')","tensor(3.1911, device='cuda:0')","tensor(0.0511, device='cuda:0')"
49,0.023032422201813386,"tensor(0.1111, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0323, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2543, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0358, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0444, device='cuda:0')","tensor(3.1284, device='cuda:0')","tensor(0.0531, device='cuda:0')"
