epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
25,0.08494468648796497,"tensor(0.1382, device='cuda:0')","tensor(0.1706, device='cuda:0')","tensor(1.3179, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.5332, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1466, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.5147, device='cuda:0')","tensor(9.5671, device='cuda:0')","tensor(0.1263, device='cuda:0')"
26,0.0854412339951681,"tensor(0.1171, device='cuda:0')","tensor(0.1975, device='cuda:0')","tensor(1.3739, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.4766, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1430, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6413, device='cuda:0')","tensor(8.2571, device='cuda:0')","tensor(0.1224, device='cuda:0')"
27,0.0812930804879769,"tensor(0.1218, device='cuda:0')","tensor(0.2319, device='cuda:0')","tensor(1.2552, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.3068, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1441, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7577, device='cuda:0')","tensor(8.6409, device='cuda:0')","tensor(0.1264, device='cuda:0')"
28,0.08050500763499219,"tensor(0.1129, device='cuda:0')","tensor(0.1887, device='cuda:0')","tensor(1.4855, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.2580, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1416, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5842, device='cuda:0')","tensor(8.0739, device='cuda:0')","tensor(0.1335, device='cuda:0')"
29,0.07691692172185234,"tensor(0.1143, device='cuda:0')","tensor(0.2594, device='cuda:0')","tensor(1.1573, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.0403, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1385, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7378, device='cuda:0')","tensor(8.2858, device='cuda:0')","tensor(0.1242, device='cuda:0')"
30,0.0771231844049433,"tensor(0.1121, device='cuda:0')","tensor(0.2048, device='cuda:0')","tensor(1.2655, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.0624, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1411, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0124, device='cuda:0')","tensor(8.2145, device='cuda:0')","tensor(0.1346, device='cuda:0')"
31,0.07408385254118753,"tensor(0.1106, device='cuda:0')","tensor(0.2000, device='cuda:0')","tensor(1.2297, device='cuda:0', grad_fn=<DivBackward0>)","tensor(6.0103, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1375, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1184, device='cuda:0')","tensor(8.0943, device='cuda:0')","tensor(0.1280, device='cuda:0')"
32,0.07432247665913208,"tensor(0.1063, device='cuda:0')","tensor(0.1916, device='cuda:0')","tensor(0.9573, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.9417, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1330, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0138, device='cuda:0')","tensor(7.8926, device='cuda:0')","tensor(0.1226, device='cuda:0')"
33,0.07283242273589839,"tensor(0.1167, device='cuda:0')","tensor(0.2157, device='cuda:0')","tensor(1.1276, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.8247, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1399, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0759, device='cuda:0')","tensor(8.4441, device='cuda:0')","tensor(0.1305, device='cuda:0')"
34,0.07392974197864532,"tensor(0.1215, device='cuda:0')","tensor(0.1704, device='cuda:0')","tensor(1.2901, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.9470, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1453, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4194, device='cuda:0')","tensor(8.4798, device='cuda:0')","tensor(0.1350, device='cuda:0')"
35,0.07142383896786234,"tensor(0.1275, device='cuda:0')","tensor(0.2564, device='cuda:0')","tensor(1.2227, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.7959, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1330, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8739, device='cuda:0')","tensor(9.1062, device='cuda:0')","tensor(0.1224, device='cuda:0')"
36,0.07213930283551631,"tensor(0.1056, device='cuda:0')","tensor(0.3064, device='cuda:0')","tensor(1.0120, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.8471, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1313, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8281, device='cuda:0')","tensor(7.8383, device='cuda:0')","tensor(0.1077, device='cuda:0')"
37,0.06971276130365289,"tensor(0.1110, device='cuda:0')","tensor(0.2254, device='cuda:0')","tensor(1.0390, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.7116, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1322, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0070, device='cuda:0')","tensor(8.0884, device='cuda:0')","tensor(0.1157, device='cuda:0')"
38,0.07345225240873254,"tensor(0.1313, device='cuda:0')","tensor(0.2848, device='cuda:0')","tensor(0.9584, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.8758, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1295, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1182, device='cuda:0')","tensor(9.1901, device='cuda:0')","tensor(0.1125, device='cuda:0')"
39,0.07030576273151067,"tensor(0.1105, device='cuda:0')","tensor(0.2492, device='cuda:0')","tensor(0.8403, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.7724, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1311, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7996, device='cuda:0')","tensor(7.9595, device='cuda:0')","tensor(0.1214, device='cuda:0')"
40,0.06610164937117825,"tensor(0.1070, device='cuda:0')","tensor(0.2394, device='cuda:0')","tensor(0.9270, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.5429, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1298, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4234, device='cuda:0')","tensor(7.6567, device='cuda:0')","tensor(0.1211, device='cuda:0')"
41,0.06623850017786026,"tensor(0.1098, device='cuda:0')","tensor(0.2412, device='cuda:0')","tensor(0.9455, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.5690, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1305, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0363, device='cuda:0')","tensor(7.9694, device='cuda:0')","tensor(0.1221, device='cuda:0')"
42,0.07029787046105965,"tensor(0.1214, device='cuda:0')","tensor(0.2446, device='cuda:0')","tensor(1.0387, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.7343, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1260, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1417, device='cuda:0')","tensor(8.7083, device='cuda:0')","tensor(0.1123, device='cuda:0')"
43,0.07106032676022986,"tensor(0.1018, device='cuda:0')","tensor(0.2671, device='cuda:0')","tensor(1.1178, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.6590, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1273, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0135, device='cuda:0')","tensor(7.6894, device='cuda:0')","tensor(0.1197, device='cuda:0')"
