epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
32,0.0439229386725596,"tensor(0.0995, device='cuda:0')","tensor(0.4156, device='cuda:0')","tensor(0.0861, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0717, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0382, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4867, device='cuda:0')","tensor(3.5440, device='cuda:0')","tensor(0.0369, device='cuda:0')"
33,0.042677806542506296,"tensor(0.0967, device='cuda:0')","tensor(0.3803, device='cuda:0')","tensor(0.1527, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0144, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0381, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6014, device='cuda:0')","tensor(3.4982, device='cuda:0')","tensor(0.0377, device='cuda:0')"
34,0.04392819278060444,"tensor(0.0941, device='cuda:0')","tensor(0.4114, device='cuda:0')","tensor(0.1487, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0530, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0364, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4769, device='cuda:0')","tensor(3.4876, device='cuda:0')","tensor(0.0352, device='cuda:0')"
35,0.04407296717048637,"tensor(0.0993, device='cuda:0')","tensor(0.3857, device='cuda:0')","tensor(0.0877, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0428, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0347, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6027, device='cuda:0')","tensor(3.6672, device='cuda:0')","tensor(0.0384, device='cuda:0')"
36,0.042177636531137284,"tensor(0.1000, device='cuda:0')","tensor(0.4124, device='cuda:0')","tensor(0.1187, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9677, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0334, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6848, device='cuda:0')","tensor(3.6389, device='cuda:0')","tensor(0.0370, device='cuda:0')"
37,0.0417078145676189,"tensor(0.0983, device='cuda:0')","tensor(0.4285, device='cuda:0')","tensor(0.2255, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9693, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0355, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5741, device='cuda:0')","tensor(3.4926, device='cuda:0')","tensor(0.0363, device='cuda:0')"
38,0.04290093177012981,"tensor(0.0937, device='cuda:0')","tensor(0.4252, device='cuda:0')","tensor(0.1277, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0092, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0354, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6961, device='cuda:0')","tensor(3.5313, device='cuda:0')","tensor(0.0380, device='cuda:0')"
39,0.04112138909598192,"tensor(0.1030, device='cuda:0')","tensor(0.4392, device='cuda:0')","tensor(0.0844, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9122, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0330, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6192, device='cuda:0')","tensor(3.7391, device='cuda:0')","tensor(0.0350, device='cuda:0')"
40,0.04177652494538398,"tensor(0.1074, device='cuda:0')","tensor(0.3995, device='cuda:0')","tensor(0.1573, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9558, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0360, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6195, device='cuda:0')","tensor(3.7347, device='cuda:0')","tensor(0.0374, device='cuda:0')"
41,0.04056580624883137,"tensor(0.0878, device='cuda:0')","tensor(0.4784, device='cuda:0')","tensor(0.0892, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9115, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0334, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6201, device='cuda:0')","tensor(3.3770, device='cuda:0')","tensor(0.0369, device='cuda:0')"
